sku_id,line_id,abc_class,cover_weeks,service_target,lost_sales_eur,excess_obsolescence_eur,working_capital_cost_eur,line_conversion_cost_eur,assumption_fingerprint
A-03,L2,C,1.0,0.88,1998.0211783813672,49969.15877646095,1335.0935065183858,3944126.0447645313,v0.1:703d09b1e1a7
A-09,L2,A,5.5,0.88,3761.5352592242593,0.0,15641.732371224367,3944126.0447645313,v0.1:703d09b1e1a7
A-13,L2,C,1.0,0.88,2.419917521191473e-07,161125.70502462785,1428.3138758302755,3944126.0447645313,v0.1:703d09b1e1a7
A-15,L2,C,1.0,0.88,2778.7848943386157,18479.337635695752,1041.6647585182002,3944126.0447645313,v0.1:703d09b1e1a7
A-16,L2,A,5.5,0.88,4629.910135205333,0.0,13625.324006590417,3944126.0447645313,v0.1:703d09b1e1a7
A-22,L2,B,5.5,0.88,1752.4449672988083,0.0,2892.0174111659526,3944126.0447645313,v0.1:703d09b1e1a7
A-24,L2,B,5.5,0.88,1099.7736793240779,0.0,2137.8062062625186,3944126.0447645313,v0.1:703d09b1e1a7
A-26,L2,C,1.0,0.88,635.4509034514724,41029.211239949866,950.0904547620516,3944126.0447645313,v0.1:703d09b1e1a7
A-32,L2,A,5.5,0.88,4218.339094325941,0.0,8163.748239237187,3944126.0447645313,v0.1:703d09b1e1a7
A-34,L2,B,5.5,0.88,681.1462256542005,0.0,3494.1013010353545,3944126.0447645313,v0.1:703d09b1e1a7
A-36,L2,C,1.0,0.88,2234.098527137369,239403.68626960495,2532.73389855421,3944126.0447645313,v0.1:703d09b1e1a7
A-38,L2,B,5.5,0.88,1131.4105952311172,0.0,3123.8938608684184,3944126.0447645313,v0.1:703d09b1e1a7
A-39,L2,A,5.5,0.88,1992.311549320101,0.0,7703.732006101138,3944126.0447645313,v0.1:703d09b1e1a7
A-42,L2,B,5.5,0.88,913.040658292626,0.0,2749.9512808705426,3944126.0447645313,v0.1:703d09b1e1a7
A-43,L2,C,1.0,0.88,3614.4199451407944,58812.566589186164,1648.6374523301795,3944126.0447645313,v0.1:703d09b1e1a7
A-05,L3,C,1.0,0.995,3806.661245184102,0.0,6154.5211816610345,3815972.974855962,v0.1:703d09b1e1a7
A-08,L3,B,5.5,0.88,821.3214094549749,0.0,9067.947128063219,3815972.974855962,v0.1:703d09b1e1a7
A-11,L3,B,5.5,0.88,911.8153551862281,0.0,13146.471746207433,3815972.974855962,v0.1:703d09b1e1a7
A-14,L3,C,1.0,0.995,1709.5540784021491,30821.193901535953,7984.3613377249185,3815972.974855962,v0.1:703d09b1e1a7
A-17,L3,B,5.5,0.88,227.12339644931336,121028.39081973956,28460.00664212479,3815972.974855962,v0.1:703d09b1e1a7
A-19,L3,C,1.0,0.995,1164.1705951069991,0.0,4550.461883718075,3815972.974855962,v0.1:703d09b1e1a7
A-25,L3,B,5.5,0.88,257.38793425033884,41017.20029101369,16513.194072361286,3815972.974855962,v0.1:703d09b1e1a7
A-27,L3,C,1.0,0.995,6143.866337208964,0.0,5382.10099556738,3815972.974855962,v0.1:703d09b1e1a7
A-31,L3,C,1.0,0.995,1312.8411956159694,0.0,4242.035266299197,3815972.974855962,v0.1:703d09b1e1a7
A-33,L3,C,1.0,0.995,1677.3183768893086,2021.298737598307,3995.871198578283,3815972.974855962,v0.1:703d09b1e1a7
A-35,L3,C,1.0,0.995,3243.6824483042824,0.0,4715.757416813155,3815972.974855962,v0.1:703d09b1e1a7
A-37,L3,A,5.5,0.88,89.46296979293834,0.0,64130.89648460293,3815972.974855962,v0.1:703d09b1e1a7
A-41,L3,C,1.0,0.995,1436.281034554574,1806.6390115739014,3654.761672986376,3815972.974855962,v0.1:703d09b1e1a7
A-44,L3,C,1.0,0.995,1397.9868140511285,0.0,4624.781230369457,3815972.974855962,v0.1:703d09b1e1a7
A-45,L3,C,1.0,0.995,1699.9699535009051,59372.555238757974,9303.222546444262,3815972.974855962,v0.1:703d09b1e1a7
B-01,L4,A,5.5,0.88,331.8089545293159,0.0,12009.486056478352,3792647.104190227,v0.1:703d09b1e1a7
B-02,L4,C,1.0,0.9375,3601.2577540416487,0.0,2325.834483994339,3792647.104190227,v0.1:703d09b1e1a7
B-03,L4,C,1.0,0.9375,94.83671616502531,99949.20572282339,9429.516737431546,3792647.104190227,v0.1:703d09b1e1a7
B-04,L4,B,5.5,0.88,641.1007966087731,0.0,4249.209730509322,3792647.104190227,v0.1:703d09b1e1a7
B-05,L4,C,1.0,0.9375,3445.1854133773804,0.0,2036.3602605884455,3792647.104190227,v0.1:703d09b1e1a7
B-06,L4,C,1.0,0.9375,153.014937122394,25865.577491381307,4822.859180327423,3792647.104190227,v0.1:703d09b1e1a7
B-07,L4,A,5.5,0.88,13.121910168562739,0.0,33103.04325833671,3792647.104190227,v0.1:703d09b1e1a7
B-08,L4,B,5.5,0.88,139.56238413960907,0.0,7174.56416853725,3792647.104190227,v0.1:703d09b1e1a7
B-09,L4,A,5.5,0.88,880.633881618203,0.0,13521.20531631288,3792647.104190227,v0.1:703d09b1e1a7
B-10,L4,C,1.0,0.9375,594.7019458616892,0.0,2919.4962330737326,3792647.104190227,v0.1:703d09b1e1a7
B-11,L4,B,5.5,0.88,307.0742763329691,0.0,4002.0132458537078,3792647.104190227,v0.1:703d09b1e1a7
B-12,L4,B,5.5,0.88,190.77787593033116,0.0,5294.982859302965,3792647.104190227,v0.1:703d09b1e1a7
B-13,L4,A,5.5,0.88,369.9466923969849,0.0,15269.166177528592,3792647.104190227,v0.1:703d09b1e1a7
B-14,L4,C,1.0,0.9375,992.67419001228,9081.023119930007,3771.680333372966,3792647.104190227,v0.1:703d09b1e1a7
B-15,L4,B,5.5,0.88,165.56567378879714,0.0,7356.624272960052,3792647.104190227,v0.1:703d09b1e1a7
