sku_id,n_cens,cens_share,bias_corrected,bias_raw,bias_raw_se,vol_corrected,vol_raw,shift,raw_sign,n_cens_measurable,ship_ratio_cens_median,ship_ratio_cens_min,ship_ratio_ref,share_cens_at_ceiling,binding_verdict,verdict,evidence,group,n_months,n_usable_months,censored_share,sigma_log_demand,vol_df_correction,chronic_bias_se_l1,chronic_bias_se_l2,chronic_bias_se_l3,chronic_bias_pct_l1,chronic_bias_pct_l2,chronic_bias_pct_l3
A-22,10,0.2777777777777778,-0.0898818335366542,0.0019656287710993,0.0495222884856092,0.2818054168500238,0.3156877357686098,-0.0918474623077536,indistinguishable,10,1.0,1.0,0.6856749194092971,1.0,BINDING (correction justified),INCONCLUSIVE,raw bias +0.0020 +/- 0.0495 (indistinguishable); stockouts BINDING (correction justified),A,36,36,0.2777777777777778,0.276439094013427,0.2948546194070897,0.0581188000639642,0.0630642351555478,0.0636327830416096,-0.0859608123318619,-0.1004091004870972,-0.188157609776871
A-23,0,0.0,0.1508035785434433,0.1508035785434433,0.0672300772027918,0.3890254141260297,0.3890254141260297,0.0,positive,0,,,0.2495548112959699,,no measurable censored months,n/a (below materiality),,A,36,36,0.0,0.3754026540615224,0.4076593388303136,0.0672300772027918,0.0813427763168663,0.0903116767730371,0.1627682430178134,0.1962433751095004,0.1341541660391318
A-24,9,0.25,-0.0862941051783112,-0.0247717751075556,0.0412315005276668,0.2117666194512454,0.239739545240405,-0.0615223300707556,indistinguishable,9,1.0,1.0,0.7922588629158429,1.0,BINDING (correction justified),INCONCLUSIVE,raw bias -0.0248 +/- 0.0412 (indistinguishable); stockouts BINDING (correction justified),A,36,36,0.25,0.2094484323899406,0.2214053402845113,0.0508813770860317,0.0568841028802875,0.061540311913392,-0.0826755983137628,-0.1282239124077779,-0.1883083542157114
A-25,3,0.0833333333333333,0.0724181103872781,0.0876213758188166,0.0353129055726603,0.2006793329763416,0.2260794193134138,-0.0152032654315384,positive,3,1.0,1.0,0.7374775360534552,1.0,BINDING (correction justified),n/a (below materiality),,A,36,36,0.0833333333333333,0.1987017980961032,0.2097921890185173,0.0373382146091035,0.0516449700484087,0.0547661121140029,0.0751047625726369,0.114152752195793,0.038666816482055
A-26,6,0.1714285714285714,-0.0834956624900358,0.0315667413401619,0.0880001566770188,0.3159491484810471,0.5200027727518435,-0.1150624038301978,indistinguishable,6,1.0,1.0,0.6961217602473413,1.0,BINDING (correction justified),INCONCLUSIVE,raw bias +0.0316 +/- 0.0880 (indistinguishable); stockouts BINDING (correction justified),A,36,35,0.1714285714285714,0.3084640071937823,0.3311774894538687,0.0722893877531491,0.0701691447295785,0.0981508683548565,-0.0801049232833557,-0.2135008839048741,-0.1795837981680522
A-27,1,0.0277777777777777,0.0087659422184217,0.0150039656515543,0.0624211183236049,0.4244357796445266,0.4210737237280244,-0.0062380234331325,indistinguishable,1,1.0,1.0,0.5072597997117022,1.0,BINDING (correction justified),n/a (below materiality),,A,36,36,0.0277777777777777,0.4069864023962046,0.4450290184134562,0.0639147149795663,0.0880417166360751,0.1008706680726778,0.0088044756014157,0.0565050970935961,0.2554042815904475
A-28,0,0.0,0.068346280080479,0.068346280080479,0.0591730141421139,0.3266543749881355,0.3266543749881355,0.0,positive,0,,,0.2445591001381874,,no measurable censored months,n/a (below materiality),,A,36,36,0.0,0.3184107378292056,0.3419803415470666,0.0591730141421139,0.0765303819168774,0.0774868336573922,0.0707360188450397,-0.0237846214873006,-0.0488275500379794
A-29,4,0.1111111111111111,0.024017390515795,0.0456967882376274,0.0386131358829909,0.2002604624009772,0.1919094131400618,-0.0216793977218323,positive,4,1.0,1.0,0.8498140310375786,1.0,BINDING (correction justified),n/a (bias not negative),,A,36,36,0.1111111111111111,0.1982951114052372,0.2093535187650201,0.0420027605418521,0.0476602734943697,0.0497650745222652,0.0243081309824625,0.0472056308218767,-0.0129940111608385
A-30,8,0.2222222222222222,-0.0169354069839054,0.0400831022307102,0.0452141069405244,0.2567536018042574,0.2272458848169068,-0.0570185092146156,indistinguishable,8,1.0,1.0,0.8441545193219491,1.0,BINDING (correction justified),INCONCLUSIVE,raw bias +0.0401 +/- 0.0452 (indistinguishable); stockouts BINDING (correction justified),A,36,36,0.2222222222222222,0.2526668535673411,0.2685641016885481,0.0542567645951754,0.0653366186105482,0.0742586166426829,-0.0167928090982369,0.0070995028813697,0.0159221173203783
A-31,0,0.0,0.0071202973105087,0.0071202973105087,0.0641353234234904,0.3304505063150753,0.3304505063150753,0.0,indistinguishable,0,,,0.5592157349821458,,no measurable censored months,n/a (below materiality),,A,36,36,0.0,0.3219267220182574,0.3459729143414369,0.0641353234234904,0.066592335989448,0.0975013019523873,0.0071457068995454,0.0306893533649228,0.0285592595482577
A-32,14,0.3888888888888889,-0.0882315198078312,0.0102438505827146,0.0326441264456173,0.1944385053170657,0.2415879288072573,-0.0984753703905459,indistinguishable,14,1.0,1.0,0.9674416001668747,1.0,BINDING (correction justified),INCONCLUSIVE,raw bias +0.0102 +/- 0.0326 (indistinguishable); stockouts BINDING (correction justified),A,36,36,0.3888888888888889,0.1926374564781076,0.2032568555337782,0.0288072297280079,0.0337600132974567,0.0352796926559309,-0.0844511155177243,-0.1567440036745741,-0.1849813385420292
A-33,0,0.0,0.0458299305394763,0.0458299305394763,0.0600212481586853,0.3162247726222359,0.3162247726222359,0.0,indistinguishable,0,,,0.3817251005084339,,no measurable censored months,n/a (below materiality),,A,36,36,0.0,0.308720680761919,0.3310141164406042,0.0600212481586853,0.0762996164028309,0.0848478937272633,0.0468963507184711,-0.0060106804662354,-0.0033016178815195
A-34,4,0.1111111111111111,-0.0094070347278607,0.0131197532989132,0.0406737411022967,0.2656473999010828,0.254603294318802,-0.022526788026774,indistinguishable,4,1.0,1.0,0.8657482061882447,1.0,BINDING (correction justified),INCONCLUSIVE,raw bias +0.0131 +/- 0.0407 (indistinguishable); stockouts BINDING (correction justified),A,36,36,0.1111111111111111,0.2611318712019139,0.2778951085711678,0.0443942899079467,0.0448959243058294,0.0538195695674008,-0.0093629269926947,-0.0222806243211633,-0.1471445866462453
A-35,0,0.0,0.0778244645254815,0.0778244645254815,0.069108471778461,0.3477625702328976,0.3477625702328976,0.0,positive,0,,,0.3636336035581031,,no measurable censored months,n/a (below materiality),,A,36,36,0.0,0.3378854142684131,0.3641886357388389,0.069108471778461,0.0875075271543614,0.0744907560178255,0.0809328999463619,0.1737817092542177,0.1040211026983792
A-36,0,0.0,0.2143532214409385,0.2143532214409385,0.070448868743533,0.3321402142487626,0.3321402142487626,0.0,positive,0,,,0.2284757784128306,,no measurable censored months,n/a (below materiality),,A,36,36,0.0,0.3234898297405861,0.3477502562852456,0.070448868743533,0.0767686172396322,0.0973565145801762,0.2390602401500729,0.1643418453846174,0.2410622884634676
A-37,0,0.0,0.060109726226293,0.060109726226293,0.0262804046882557,0.1184619593610114,0.1184619593610114,0.0,positive,0,,,0.7430881166304908,,no measurable censored months,n/a (below materiality),,A,36,36,0.0,0.1180494878021505,0.123768770229695,0.0262804046882557,0.0277177883962159,0.0330145882229172,0.0619530642549595,0.049203555531874,0.0675938910988536
A-38,6,0.1666666666666666,-0.0464188180688891,0.0005240080541552,0.0448581840519032,0.2652079000851327,0.313756688362666,-0.0469428261230443,indistinguishable,6,1.0,1.0,0.8115866802591128,1.0,BINDING (correction justified),INCONCLUSIVE,raw bias +0.0005 +/- 0.0449 (indistinguishable); stockouts BINDING (correction justified),A,36,36,0.1666666666666666,0.2607142088980089,0.2774339386767243,0.0485914522746074,0.0546548688934776,0.05768150806112,-0.0453579428900157,-0.1478522103055012,-0.1356114115675139
A-39,9,0.25,-0.0602728217102175,0.006716853035755,0.0354211223973809,0.163212307495643,0.2373726132214491,-0.0669896747459725,indistinguishable,9,1.0,1.0,0.9210529579319816,1.0,BINDING (correction justified),INCONCLUSIVE,raw bias +0.0067 +/- 0.0354 (indistinguishable); stockouts BINDING (correction justified),A,36,36,0.25,0.1621407921870879,0.170572046985491,0.0265286646256154,0.0292558018436842,0.025268920322021,-0.0584923651810522,-0.0727590635981234,-0.0948715971813154
A-40,0,0.0,0.0708144606317503,0.0708144606317503,0.0235538440293084,0.1304038680571664,0.1304038680571664,0.0,positive,0,,,0.3817398468490829,,no measurable censored months,n/a (below materiality),,A,36,36,0.0,0.129854531907517,0.1362547585866255,0.0235538440293084,0.0294874401521926,0.0417507392663063,0.0733820527637424,0.0851472715711191,0.1396903140152917
A-41,1,0.0277777777777777,0.0429306244504231,0.0479982366419132,0.0735912885161457,0.3784384990681407,0.3710237613658145,-0.0050676121914901,indistinguishable,1,1.0,1.0,0.4885006588807133,1.0,BINDING (correction justified),n/a (below materiality),,A,36,36,0.0277777777777777,0.3658484369239513,0.3964984433433328,0.0755486391198259,0.0672622244091218,0.0874240358326506,0.0438654735975943,-0.0025046740831149,0.0413864990258674
A-42,7,0.1944444444444444,-0.0580097450228994,-0.0050899217485624,0.040439632514676,0.2075472062733687,0.2531390337656599,-0.052919823274337,indistinguishable,7,1.0,1.0,0.858308806099169,1.0,BINDING (correction justified),INCONCLUSIVE,raw bias -0.0051 +/- 0.0404 (indistinguishable); stockouts BINDING (correction justified),A,36,36,0.1944444444444444,0.2053628238436143,0.2169853941395284,0.0442944917755515,0.0549490973218098,0.0558795381012715,-0.0563592484087413,-0.0378144278207331,-0.0522355650043926
A-43,0,0.0,0.1030426576479917,0.1030426576479917,0.0729609560768143,0.4624640391343813,0.4624640391343813,0.0,positive,0,,,0.3987290688757239,,no measurable censored months,n/a (below materiality),,A,36,36,0.0,0.4402454588194079,0.4852324507473753,0.0729609560768143,0.0778623309830123,0.09245576971769,0.1085386957208987,0.1098351995114617,0.00188546289291
A-44,1,0.0277777777777777,-0.0372512856233211,0.0902326107916631,0.1532372951627536,0.4009494985515865,0.976407240212218,-0.1274838964149843,indistinguishable,1,1.0,1.0,0.5185137810349337,1.0,BINDING (correction justified),n/a (below materiality),,A,36,36,0.0277777777777777,0.3861028283856746,0.4202363187527833,0.0901451918755313,0.0792568649495822,0.088820950426827,-0.036565992186439,-0.0782764863533823,-0.0266580603852513
A-45,0,0.0,0.0890682209863746,0.0890682209863746,0.0645407707695421,0.2937474965031477,0.2937474965031477,0.0,positive,0,,,0.4345548991225882,,no measurable censored months,n/a (below materiality),,A,36,36,0.0,0.2876908129552241,0.3073952567426464,0.0645407707695421,0.0631812800976311,0.0712592109648675,0.0931552299106046,0.2014570291093115,0.0817851730104263
B-01,0,0.0,0.0016162898105775,0.0016162898105775,0.0281586143206438,0.1382546683554517,0.1382546683554517,0.0,indistinguishable,0,,,0.7429975922435034,,no measurable censored months,n/a (below materiality),,B,36,36,0.0,0.1376007596819506,0.1444646488444486,0.0281586143206438,0.0299027501461289,0.0272876024755464,0.0016175967109684,0.0136300489692914,0.0437023581863229
B-02,0,0.0,0.0613598800737255,0.0613598800737255,0.0726131743293148,0.3565648893853011,0.3565648893853011,0.0,indistinguishable,0,,,0.325655413082976,,no measurable censored months,n/a (below materiality),,B,36,36,0.0,0.3459510632879405,0.3734554373818096,0.0726131743293148,0.0624969750843461,0.0753910386971412,0.0632814991650215,0.0091545882275861,-0.0741693872899331
B-03,0,0.0,0.2381962963429248,0.2381962963429248,0.0794653055277823,0.3341343242801995,0.3341343242801995,0.0,positive,0,,,0.2048140522057505,,no measurable censored months,n/a (below materiality),,B,36,36,0.0,0.3253330169651856,0.3498479433820227,0.0794653055277823,0.0816216344534735,0.1001099019812373,0.2689582602444094,0.2457094275387631,0.2594214247561543
B-04,0,0.0,-0.0074725506562428,-0.0074725506562428,0.0496313885294144,0.2258181627919612,0.2258181627919612,0.0,indistinguishable,0,,,0.8154462775941616,,no measurable censored months,n/a (below materiality),,B,36,36,0.0,0.2230162175970048,0.2361284505506261,0.0496313885294144,0.0461337887140445,0.0598891078863574,-0.0074447005631744,0.0349563944330401,-0.0228756219968975
B-05,0,0.0,0.0451380778829626,0.0451380778829626,0.0556800912994037,0.2893779050845675,0.2893779050845675,0.0,indistinguishable,0,,,0.3380376422819885,,no measurable censored months,n/a (below materiality),,B,36,36,0.0,0.283580018470804,0.3028060290690639,0.0556800912994037,0.0623032267335435,0.0836560783433648,0.046172303193115,0.1785684681428317,0.0962833219262984
B-06,0,0.0,0.0513015664288073,0.0513015664288073,0.0745758129528416,0.3806109344812297,0.3806109344812297,0.0,indistinguishable,0,,,0.3753562359044751,,no measurable censored months,n/a (below materiality),,B,36,36,0.0,0.3678130634254752,0.3987882279519811,0.0745758129528416,0.0686691806832784,0.0809527741800294,0.0526402863952318,-0.005132675370718,0.0765150732177491
B-07,0,0.0,0.0637899452894149,0.0637899452894149,0.0225396514082154,0.1201752773920976,0.1201752773920976,0.0,positive,0,,,0.3274136355050583,,no measurable censored months,n/a (below materiality),,B,36,36,0.0,0.1197447432679821,0.125559996813422,0.0225396514082154,0.0275692379968991,0.0339606553761979,0.0658684845491673,0.0613396339065441,0.0602484228416587
B-08,0,0.0,0.0498716846675217,0.0498716846675217,0.0364619332755788,0.2214392701133611,0.2214392701133611,0.0,positive,0,,,0.5359420595555082,,no measurable censored months,n/a (below materiality),,B,36,36,0.0,0.2187944879085161,0.2315396463412757,0.0364619332755788,0.0350331012289958,0.0507311517266013,0.0511362108298947,0.0342804675474818,0.0904517271855159
B-09,1,0.0277777777777777,-0.0100633974884063,-0.0063990101758678,0.0234655452597458,0.1536246186742942,0.1553227553902879,-0.0036643873125385,indistinguishable,1,1.0,1.0,0.8035311862873096,1.0,BINDING (correction justified),n/a (below materiality),,B,36,36,0.0277777777777777,0.1527296195807859,0.1605411141869325,0.0238541556976338,0.0302884196621463,0.0325126913931062,-0.0100129309341061,0.0501799152958063,0.0525637101085169
B-10,0,0.0,0.0581914653614622,0.0581914653614622,0.0613691225532531,0.3148095468409596,0.3148095468409596,0.0,indistinguishable,0,,,0.327482511322463,,no measurable censored months,n/a (below materiality),,B,36,36,0.0,0.3074024373068739,0.3295264188139089,0.0613691225532531,0.0660587325234838,0.0927078086693961,0.0599179138502657,-0.0137068224610344,0.0464749094166581
B-11,1,0.0277777777777777,0.019665813806841,0.0254900973066856,0.0464173461958843,0.2209882827048035,0.2191525997480293,-0.0058242834998445,indistinguishable,1,0.9999999998375418,0.9999999998375418,0.581242554445643,1.0,BINDING (correction justified),n/a (below materiality),,B,36,36,0.0277777777777777,0.218359353461568,0.2310670727341864,0.0473914010161932,0.0485406058409767,0.0509550574720795,0.019860459786584,0.0163501605960155,-0.0925953796379285
B-12,0,0.0,0.0475771871618583,0.0475771871618583,0.0508711097058601,0.2501848539905633,0.2501848539905633,0.0,indistinguishable,0,,,0.5348510207231681,,no measurable censored months,n/a (below materiality),,B,36,36,0.0,0.2463973220316361,0.2616741832482325,0.0508711097058601,0.0453704513456002,0.0520435266680449,0.0487271462692662,-0.0393642748849079,-0.0695681760378151
B-13,0,0.0,0.0193421652697613,0.0193421652697613,0.0278020820821583,0.1602665436758862,0.1602665436758862,0.0,indistinguishable,0,,,0.7501194820974879,,no measurable censored months,n/a (below materiality),,B,36,36,0.0,0.1592514927595059,0.1674898830714119,0.0278020820821583,0.0319448096077589,0.0276844325389189,0.0195304368493498,0.0356807146723568,-0.0022002507336398
B-14,0,0.0,0.1039044416850306,0.1039044416850306,0.0559630536660218,0.3249009810803636,0.3249009810803636,0.0,positive,0,,,0.366579617951476,,no measurable censored months,n/a (below materiality),,B,36,36,0.0,0.3167847528036758,0.3401364172041459,0.0559630536660218,0.0788302723372615,0.1009884707605414,0.1094944284317583,0.0805555911403469,0.0412323105358467
B-15,0,0.0,0.0732511243745428,0.0732511243745428,0.046109734594544,0.2540343193896884,0.2540343193896884,0.0,positive,0,,,0.465941093213197,,no measurable censored months,n/a (below materiality),,B,36,36,0.0,0.2500732180227424,0.2657116862764115,0.046109734594544,0.0527034055494955,0.0583570445130718,0.0760007129954426,0.078792146892586,0.0288194037696877
